	controlA	controlB	thrombinA	thrombinB	thrombinC
CPN2	0	0	0	0	0
LRRC15	1	0	3	0	3
GP5	1	1	1	1	0
ATP13A3	2607	2667	1861	1469	1858
TMEM44	1480	1489	1008	957	943
LSG1	1701	1642	1430	1180	1327
XXYLT1	1600	1601	1922	1660	1850
ACAP2	1517	1540	482	413	463
MIR5692C1	0	0	0	0	0
PPP1R2	605	632	492	388	508
APOD	222	228	222	225	222
MUC4	8	16	13	14	8
TNK2	863	930	996	988	991
MIR6829	0	1	0	1	0
SDHAP1	113	125	58	51	44
TFRC	1687	1713	1473	1149	1483
ZDHHC19	0	0	0	0	0
PCYT1A	1112	1003	1257	998	1225
TCTEX1D2	28	28	37	50	34
TM4SF19-TCTEX1D2	0	0	0	0	0
TM4SF19	3	0	0	1	1
UBXN7	774	742	423	368	450
RNF168	593	581	415	311	338
C3orf43	1	1	0	1	0
WDR53	165	116	117	98	91
CEP19	25	31	20	13	12
NCBP2	1461	1482	1056	862	986
PIGZ	106	110	95	87	103
MFI2	24	19	23	22	21
DLG1	1905	1911	974	782	963
MIR4797	0	0	0	0	0
BDH1	33	53	39	39	25
LOC220729	141	153	77	87	94
KIAA0226	846	890	1111	1003	1092
MIR922	0	0	0	0	0
IQCG	53	53	42	33	33
ANKRD18DP	0	0	0	0	0
ZNF595	78	63	20	28	22
ZNF718	85	81	45	19	37
ZNF876P	16	17	1	5	3
ZNF141	38	35	19	6	14
PIGG	1202	1228	1280	1120	1246
PDE6B	5	5	10	8	4
MYL5	117	115	110	105	130
PCGF3	1880	1944	1882	1623	1838
TMEM175	217	183	186	178	202
IDUA	413	374	301	332	274
FGFRL1	750	749	1035	970	991
CTBP1-AS	632	696	622	643	615
CTBP1-AS2	132	128	159	141	147
MAEA	1075	1073	1348	1263	1272
UVSSA	214	228	148	121	144
CRIPAK	104	104	46	34	61
TACC3	1299	1349	1288	1193	1229
FGFR3	14	19	16	31	20
WHSC1	2503	2517	2198	1976	2206
SCARNA22	2	4	0	2	5
C4orf48	140	152	202	208	172
NAT8L	3	3	2	4	2
LOC402160	1	1	0	0	0
RNF4	1565	1529	2015	1677	2015
FAM193A	830	780	880	712	822
SH3BP2	1739	1790	1424	1304	1390
ADD1	5966	5828	7037	5879	6525
NOP14-AS1	320	261	265	255	283
GRK4	19	15	21	16	19
HTT	2156	2206	2884	2529	2829
MSANTD1	2	0	0	0	1
RGS12	979	1035	1213	1176	1142
HGFAC	7	5	3	1	0
DOK7	0	0	0	0	0
LINC00955	0	0	0	0	0
ADRA2C	0	1	2	4	6
ZBTB49	71	103	85	66	87
NSG1	171	161	185	171	200
STX18-AS1	6	6	7	8	3
MSX1	144	133	293	221	287
STK32B	542	510	526	512	543
C4orf6	1	2	0	1	0
EVC	1472	1447	1622	1433	1470
LOC285484	0	0	0	0	0
WFS1	4247	4165	4071	3778	3821
MAN2B2	2634	2524	3179	2919	2998
MRFAP1	4456	4553	4983	4401	4819
LOC93622	126	126	96	93	104
S100P	1	0	0	0	0
BLOC1S4	193	173	261	236	231
KIAA0232	1248	1135	533	458	530
TBC1D14	883	858	910	777	876
TADA2B	351	405	462	405	466
SORCS2	2	2	2	3	3
MIR4798	0	0	0	0	0
MIR4274	0	0	0	0	0
AFAP1-AS1	391	338	450	446	399
SH3TC1	3659	3856	4170	4111	4006
HTRA3	1489	1512	1676	1644	1576
TRMT44	199	201	200	195	214
GPR78	0	0	0	0	0
CPZ	1	1	0	0	1
LOC650293	0	0	0	0	0
USP17L10	0	0	0	0	0
USP17L11	0	0	0	0	0
USP17L12	0	0	0	0	0
USP17L13	0	0	0	0	0
USP17L15	0	0	0	0	0
USP17L17	0	0	0	0	0
USP17L18	0	0	0	0	0
USP17L19	0	0	0	0	0
USP17L22	0	0	0	0	0
USP17L5	0	0	0	0	0
USP17L30	0	0	0	0	0
USP17L25	0	0	0	0	0
USP17L24	0	0	0	0	0
USP17L26	0	0	0	0	0
USP17L9P	0	0	0	0	0
USP17L27	0	0	0	0	0
USP17L6P	0	0	0	0	0
DEFB131	0	0	0	0	0
DRD5	0	0	0	0	0
MIR572	0	0	0	0	0
MIR5091	0	0	0	0	0
LINC01085	0	0	0	0	0
CPEB2	576	535	483	321	481
C1QTNF7	0	0	0	0	0
CC2D2A	110	117	51	39	59
FAM200B	311	289	160	121	165
BST1	280	255	311	285	315
CD38	1	0	4	4	1
TAPT1-AS1	16	19	7	7	5
CLRN2	0	0	0	0	0
LAP3	2814	2781	2592	2241	2528
MED28	524	485	557	449	513
NCAPG	872	894	296	246	294
SLIT2	197	209	223	215	234
SLIT2-IT1	0	0	0	0	1
MIR218-1	0	0	0	0	0
PACRGL	132	139	109	91	99
GBA3	0	0	0	0	0
SOD3	0	0	0	1	0
SEPSECS-AS1	5	4	2	3	4
PI4K2B	477	473	348	292	394
ZCCHC4	167	157	106	82	108
ANAPC4	374	388	154	114	156
SLC34A2	0	1	0	0	0
SMIM20	159	152	151	112	165
RBPJ	992	1037	451	351	437
TBC1D19	56	48	47	17	42
STIM2	334	354	220	235	275
MIR4275	0	0	0	0	0
PCDH7	158	175	115	113	104
DTHD1	0	0	0	0	0
NWD2	0	0	0	0	0
C4orf19	11	13	6	6	5
PGM2	1403	1364	1110	926	1115
TBC1D1	1700	1623	2316	1939	2287
PTTG2	0	0	0	0	0
KLF3	1837	1808	1424	1198	1393
FAM114A1	3018	2918	3009	2497	2879
MIR574	1	0	0	0	0
KLHL5	2058	2012	2159	1799	2190
MIR1273H	0	0	0	0	0
WDR19	694	714	277	191	248
KLB	3	5	1	0	0
LIAS	115	120	66	63	78
LOC401127	4	1	1	2	0
UGDH-AS1	834	782	231	198	215
UBE2K	1600	1562	1424	1135	1372
N4BP2	285	271	47	40	42
RHOH	1	0	0	1	1
CHRNA9	0	0	0	2	0
NSUN7	3	7	1	1	1
UCHL1	3403	3628	3963	3241	3815
LIMCH1	732	709	282	239	266
TMEM33	971	939	770	569	769
DCAF4L1	11	7	1	2	4
SLC30A9	897	779	384	299	366
SHISA3	144	137	110	97	107
GRXCR1	0	0	0	0	0
GUF1	469	457	240	202	268
GABRB1	0	0	0	0	0
ATP10D	1215	1199	1390	1096	1328
MIR8053	0	0	0	0	0
NIPAL1	6	9	3	11	5
SLAIN2	907	919	937	726	893
SLC10A4	0	0	0	1	0
ZAR1	0	0	0	0	0
OCIAD1	1602	1601	1323	1071	1379
CWH43	0	0	0	0	0
DCUN1D4	718	789	364	286	344
SPATA18	501	519	341	323	342
DANCR	280	282	255	233	275
MIR4449	0	0	0	0	0
SNORA26	9	5	3	3	2
LOC152578	0	0	0	0	0
RASL11B	0	0	0	0	0
FIP1L1	818	721	619	523	652
LNX1-AS1	0	0	0	0	0
LNX1-AS2	1	0	1	0	0
GSX2	0	0	0	0	0
PDGFRA	63	56	115	88	101
KIT	1094	1003	684	640	656
SRD5A3	439	463	538	449	546
TMEM165	2349	2338	2922	2357	2821
LOC644145	0	0	0	0	0
EXOC1	1185	1222	633	515	615
CEP135	231	225	62	47	48
KIAA1211	440	408	606	512	549
PAICS	2063	2012	1668	1210	1543
SRP72	2541	2517	1706	1435	1639
ARL9	2	7	11	4	9
THEGL	0	0	0	1	0
REST	1006	946	405	377	423
POLR2B	5409	5192	4239	3311	4180
IGFBP7-AS1	3100	3133	4044	4148	3940
LPHN3	0	0	0	0	0
EPHA5-AS1	0	1	1	0	2
STAP1	0	0	0	0	0
UBA6-AS1	136	156	133	117	104
LOC550113	0	0	0	0	0
FTLP10	0	0	0	0	0
TMPRSS11E	0	0	0	0	0
UGT2B10	0	0	0	0	0
UGT2B7	0	1	0	0	0
UGT2B28	0	0	0	0	0
CSN1S1	0	0	0	0	0
STATH	1	1	2	4	1
HTN3	0	2	0	2	3
HTN1	3	2	4	6	3
CSN1S2AP	0	0	0	0	0
CSN1S2BP	1	0	0	0	0
PRR27	0	0	0	0	0
ODAM	0	0	0	0	0
FDCSP	0	0	0	0	0
CSN3	1	0	0	0	0
CABS1	1	0	0	0	0
SMR3A	0	0	0	0	0
SMR3B	0	0	0	0	0
PROL1	0	0	0	0	0
MUC7	0	0	0	0	0
AMTN	23	38	23	27	19
AMBN	0	0	0	0	0
ENAM	0	1	2	0	0
UTP3	625	664	750	606	662
RUFY3	660	619	288	250	281
MOB1B	1033	1064	317	232	286
DCK	437	454	395	295	376
SLC4A4	1	0	0	0	0
NPFFR2	0	2	2	0	1
ALB	1	0	0	0	0
AFP	0	0	0	0	0
AFM	0	0	0	0	0
LOC728040	0	0	0	0	0
CXCL8	4651	4848	14899	11951	14578
CXCL6	354	381	439	354	421
PF4V1	0	0	1	0	0
CXCL1	4205	4234	5143	4489	5151
MTHFD2L	61	77	48	28	49
EPGN	4	6	3	2	1
EREG	11	14	8	9	17
AREG	1	0	1	1	3
PARM1	3	4	2	4	2
LOC441025	0	0	0	0	0
THAP6	59	56	26	28	22
C4orf26	0	2	0	0	0
USO1	2347	2322	886	710	878
ART3	1	2	1	2	2
FAM47E	0	2	0	0	0
FAM47E-STBD1	0	0	0	0	0
STBD1	10	5	14	11	10
SHROOM3	59	57	100	69	98
MIR4450	0	0	0	0	0
SEPT11	7098	6545	4529	3631	4439
CCNG2	925	974	970	773	999
CXCL13	0	0	0	0	1
MRPL1	261	248	162	113	184
FRAS1	84	90	146	96	120
ANXA3	2624	2552	2346	1906	2309
LINC01094	113	88	79	61	64
BMP2K	1002	986	505	454	582
LINC01088	2	0	0	0	0
LINC00989	0	1	0	0	0
PCAT4	0	0	0	0	0
PRDM8	24	21	34	26	33
FGF5	172	172	306	208	275
C4orf22	0	1	0	1	1
BMP3	0	0	0	0	0
ENOPH1	695	724	682	559	675
THAP9	36	51	14	8	15
COPS4	752	731	536	434	612
MRPS18C	377	401	353	301	371
AGPAT9	448	429	240	225	263
CDS1	1	1	1	1	1
WDFY3-AS2	7	6	11	6	9
ARHGAP24	1560	1528	1372	1078	1224
MIR4451	0	0	0	0	0
LOC101929064	0	0	1	0	0
PTPN13	17	8	2	2	6
AFF1	2949	2957	1970	1725	1922
NUDT9	429	439	353	338	360
DSPP	0	0	0	0	0
DMP1	0	0	0	0	0
IBSP	0	1	0	0	0
MEPE	0	0	0	0	0
SPP1	1	1	0	1	0
PKD2	1003	963	608	537	565
HERC6	387	448	394	315	448
HERC5	45	30	23	17	22
HERC3	504	564	437	349	403
FAM13A-AS1	41	51	13	17	11
TIGD2	48	30	22	17	27
SNCA-AS1	0	4	0	2	3
MMRN1	28092	27601	9786	7889	9726
CCSER1	0	0	1	0	2
GRID2	0	0	0	0	0
ATOH1	0	0	0	0	0
SMARCAD1	1059	1038	265	234	246
PDLIM5	4091	4059	6733	5325	6529
BMPR1B	33	32	21	15	9
PDHA2	0	0	0	0	0
STPG2-AS1	0	0	0	0	0
RAP1GDS1	1272	1258	1024	867	1052
METAP1	866	877	779	655	741
MIR3684	0	0	0	0	0
LOC100507053	10	14	7	2	4
C4orf17	0	0	0	0	0
MTTP	0	0	0	0	0
DAPP1	1	0	0	0	0
LOC256880	4	2	0	2	0
FLJ20021	40	38	46	39	37
BANK1	3	1	0	0	1
NFKB1	1413	1414	2567	2138	2501
CISD2	376	333	333	272	263
TET2	568	574	160	141	186
ARHGEF38	0	0	0	0	0
ARHGEF38-IT1	0	0	0	0	0
GSTCD	278	268	216	191	176
NPNT	0	0	0	0	0
AIMP1	664	660	357	325	377
SGMS2	1080	1067	479	420	485
CYP2U1	142	162	122	96	147
HADH	231	256	282	181	219
LEF1-AS1	0	0	0	0	0
RPL34	4527	5184	6498	5301	6428
OSTC	2858	3059	2928	2351	2806
SEC24B	1465	1350	1206	1009	1256
CCDC109B	603	548	615	487	625
GAR1	356	367	442	416	456
RRH	2	1	1	2	1
LRIT3	2	9	1	0	0
EGF	2	3	2	1	1
ENPEP	1	1	1	1	2
C4orf32	1301	1214	811	670	777
AP1AR	866	815	364	319	373
ALPK1	97	88	54	36	70
LARP7	606	610	180	148	179
ANK2	31	32	24	12	24
MIR1243	0	0	0	0	0
MIR8082	0	0	0	0	0
UGT8	66	72	17	16	14
MIR577	0	0	0	0	0
MIR1973	0	0	0	0	0
NDST3	6	4	5	0	3
SNHG8	215	264	284	221	259
SNORA24	9	6	1	3	4
CEP170P1	10	9	6	1	2
LOC729218	204	189	92	72	84
METTL14	339	298	166	131	146
SYNPO2	18	17	7	7	5
MYOZ2	7	6	6	5	7
USP53	1076	1065	209	151	194
LOC645513	72	79	53	48	55
PP12613	1	1	0	0	0
EXOSC9	681	644	387	346	431
KIAA1109	1743	1802	384	290	342
ADAD1	0	0	0	0	0
IL21-AS1	0	0	0	0	0
BBS12	110	78	48	55	34
FGF2	235	236	112	118	118
SPATA5	170	149	80	83	100
SPRY1	361	366	459	404	437
LINC01091	32	30	21	26	27
FAT4	1889	1868	643	532	665
MIR2054	0	0	0	0	0
INTU	67	86	27	28	34
SLC25A31	0	0	0	0	0
HSPA4L	232	234	56	57	69
PLK4	374	327	102	80	114
C4orf29	146	133	94	64	66
LARP1B	378	377	211	146	189
JADE1	582	584	322	285	346
C4orf33	60	62	32	26	33
PCDH10	215	211	248	193	219
SLC7A11-AS1	551	593	166	128	170
LINC00499	0	0	0	0	0
CCRN4L	456	415	1073	974	1116
NAA15	1289	1298	432	336	436
RAB33B	589	606	435	328	464
MGST2	580	558	598	501	592
SCOC	999	985	561	423	538
ELMOD2	396	362	175	150	171
ZNF330	451	458	293	267	314
IL15	62	62	86	67	99
USP38	741	707	479	370	464
GAB1	669	703	503	404	478
SMARCA5	3551	3445	1728	1384	1616
GUSBP5	3	6	5	0	0
HHIP	11392	10885	10840	9185	10643
ABCE1	2269	2316	1049	821	1027
SMAD1	3563	3289	3296	2777	3439
MMAA	117	103	115	74	100
C4orf51	0	0	0	0	0
LSM6	145	123	131	98	129
MIR7849	0	0	0	0	0
POU4F2	0	0	0	0	0
EDNRA	12	18	7	4	11
TMEM184C	640	633	478	383	486
ARHGAP10	682	683	996	820	964
MIR4799	0	0	0	0	0
DCLK2	79	66	69	54	59
MAB21L2	12	21	14	8	8
RPS3A	11981	11990	13976	11289	13840
SNORD73A	0	0	0	0	0
PRSS48	0	0	0	0	0
FAM160A1	3	1	2	2	1
DEAR	26	38	28	17	21
DKFZP434I0714	42	59	23	18	36
ARFIP1	451	389	290	210	277
FHDC1	14	15	8	10	10
TRIM2	413	403	208	144	180
MND1	21	13	18	7	12
KIAA0922	815	819	771	635	762
TLR2	31	23	200	141	172
FGB	0	0	0	0	0
LRAT	0	0	0	0	0
RBM46	0	0	0	0	0
NPY2R	0	0	0	0	0
GUCY1A3	7	7	5	0	2
GUCY1B3	10	11	2	2	3
TDO2	0	0	0	0	0
GLRB	48	41	34	35	41
GRIA2	0	0	0	0	0
LOC340017	0	0	0	0	0
TMEM144	215	184	43	35	30
RXFP1	7	20	8	6	9
ETFDH	313	293	200	174	182
FNIP2	419	415	334	305	323
MIR3688-2	0	0	0	0	0
RAPGEF2	1830	1872	1264	1097	1304
NPY5R	0	0	0	0	0
TMA16	329	326	246	211	282
MIR5684	0	0	0	0	0
LINC01207	0	0	0	0	0
APELA	0	0	0	0	0
FAM218A	1	1	0	1	0
TRIM60	0	0	0	0	0
KLHL2	630	636	461	398	481
MSMO1	2156	2237	1312	1076	1287
CPE	52	44	49	38	44
MIR578	0	0	0	0	0
TLL1	617	590	362	318	319
ANXA10	1	0	0	1	1
PALLD	2937	2922	6243	5088	5960
CLCN3	2168	2000	1076	912	1105
LOC100506122	0	0	0	0	0
MIR6082	0	0	0	0	0
GALNTL6	0	1	1	0	0
GALNT7	3930	3970	2429	1948	2284
SAP30	203	217	201	228	222
HAND2-AS1	0	0	0	0	0
CEP44	163	181	65	45	72
MIR4276	0	0	0	0	0
ADAM29	0	0	0	0	0
WDR17	0	0	0	0	0
SPCS3	2955	2924	1750	1345	1839
NEIL3	70	87	60	47	61
LINC01098	0	0	0	0	0
MIR1305	0	0	0	0	0
TENM3	2573	2645	3347	2777	3127
FAM92A1P2	0	0	0	0	0
WWC2	1379	1418	869	757	890
CDKN2AIP	380	370	238	203	218
ING2	130	114	103	78	88
TRAPPC11	805	826	446	387	461
STOX2	3	1	1	1	0
PRIMPOL	127	145	53	53	61
HELT	0	0	0	0	0
SLC25A4	216	223	234	204	208
SNX25	402	371	254	233	224
ANKRD37	62	74	52	29	49
C4orf47	6	5	2	1	1
TLR3	62	59	27	21	29
FAM149A	2	8	2	4	8
CYP4V2	99	87	52	54	58
KLKB1	0	0	0	0	0
F11	0	0	0	0	0
ZFP42	0	1	0	1	0
TRIML1	1	2	1	3	0
LINC01060	0	0	0	0	0
FRG1	377	357	228	203	228
DUX4L2	0	0	0	0	0
DUX4L4	0	0	0	0	0
DUX4L5	0	0	0	0	0
DUX4	0	0	0	0	0
ZNF732	4	6	2	0	1
ABCA11P	55	56	30	21	22
ZNF721	205	184	30	31	37
ATP5I	1098	995	1116	916	1077
MFSD7	102	113	95	69	83
LOC100129917	50	55	17	12	12
CPLX1	24	28	18	27	19
GAK	1971	1998	2528	2423	2410
DGKQ	682	683	729	692	639
SLC26A1	114	100	62	57	63
RNF212	11	11	6	7	5
TMED11P	0	1	0	1	0
SPON2	4	6	2	1	2
LOC100130872	2	3	0	1	1
CTBP1	1704	1707	1783	1666	1746
NKX1-1	0	0	0	0	0
FAM53A	4	8	14	16	3
SLBP	955	1018	997	858	999
TMEM129	322	385	422	374	352
LETM1	1490	1519	1779	1681	1692
NELFA	299	284	312	343	331
MIR943	0	0	0	0	0
POLN	51	34	13	10	11
HAUS3	9	10	2	2	3
MXD4	2566	2624	3037	2853	2813
MIR4800	0	0	0	0	0
ZFYVE28	116	89	85	83	76
TNIP2	952	1018	1757	1700	1719
MFSD10	944	950	1118	1185	1048
NOP14	1342	1239	1360	1173	1328
HTT-AS	0	0	0	0	0
LRPAP1	2471	2430	3282	3028	3064
LOC100133461	0	0	0	0	0
FAM86EP	20	11	33	24	25
OTOP1	0	4	0	1	0
TMEM128	155	157	144	129	144
LYAR	524	429	328	295	359
STX18	555	541	597	513	635
CYTL1	670	666	688	545	708
EVC2	305	298	391	327	380
CRMP1	468	462	400	368	380
MIR378D1	0	0	0	0	0
JAKMIP1	0	0	0	0	0
PPP2R2C	17	25	15	14	20
MRFAP1L1	808	768	485	425	502
LOC100129931	468	436	554	417	521
CCDC96	33	39	30	38	36
GRPEL1	620	654	779	680	813
FLJ36777	2	0	0	0	1
PSAPL1	0	0	0	0	0
AFAP1	3917	3970	5423	4676	5167
ABLIM2	5	5	5	2	2
ACOX3	439	499	558	489	509
HMX1	0	0	0	0	0
MIR548I2	0	0	0	0	0
SLC2A9	19	6	17	8	15
WDR1	12996	12984	19638	17613	18714
MIR3138	0	1	0	0	0
ZNF518B	718	716	226	192	216
CLNK	0	0	0	0	0
HS3ST1	4	9	10	6	8
RAB28	258	230	193	162	203
LINC01097	0	0	0	0	0
NKX3-2	0	0	0	0	0
LINC01096	0	0	0	0	0
BOD1L1	1189	1119	340	325	308
CPEB2-AS1	1	0	0	0	0
FBXL5	2646	2678	1760	1495	1812
FGFBP1	0	0	0	0	0
FGFBP2	0	0	0	0	0
PROM1	2	1	1	0	2
TAPT1	253	275	225	166	190
LDB2	727	729	640	480	552
MIR548AX	0	0	0	0	0
QDPR	360	450	382	364	409
FAM184B	35	33	8	4	14
DCAF16	467	453	374	295	325
LCORL	405	388	107	84	121
KCNIP4	14	10	3	1	5
KCNIP4-IT1	0	0	1	0	0
LOC100505912	0	0	0	0	1
GPR125	865	803	860	804	921
MIR548AJ2	0	0	0	0	0
PPARGC1A	0	0	0	0	0
MIR573	0	0	2	0	0
DHX15	2918	2949	2240	1852	2157
CCDC149	275	294	242	187	212
LGI2	2	4	0	1	1
SEPSECS	184	164	58	44	58
SEL1L3	7323	7469	8258	6769	8094
CCKAR	0	1	0	0	0
ARAP2	0	0	1	0	0
MIR4801	0	0	0	0	0
RELL1	1261	1286	1336	1170	1329
LINC01258	0	0	0	0	0
KLF3-AS1	46	57	51	46	40
TLR10	0	0	0	0	0
TLR1	113	113	62	50	61
TLR6	189	180	81	70	72
TMEM156	24	14	25	21	24
RFC1	1214	1230	479	372	475
RPL9	9598	10022	12939	10938	12373
UGDH	1070	1025	962	784	922
SMIM14	388	419	445	355	449
PDS5A	2998	2941	1181	980	1146
LOC344967	0	2	2	1	0
RBM47	3	1	7	8	7
MIR4802	0	0	0	0	0
APBB2	3478	3405	3094	2527	3013
UCHL1-AS1	0	0	0	0	0
PHOX2B	0	0	0	0	0
LINC00682	0	0	0	0	0
BEND4	3	4	1	1	4
ATP8A1	24	30	12	8	13
KCTD8	1	4	4	5	11
YIPF7	1	0	1	2	0
GNPDA2	342	349	192	140	193
GABRG1	0	0	0	0	0
GABRA2	6	4	4	6	3
COX7B2	0	0	0	0	0
GABRA4	0	0	0	0	0
COMMD8	300	345	189	160	211
CORIN	3	6	2	1	3
NFXL1	221	219	93	78	91
CNGA1	0	1	0	0	0
TXK	4	7	1	0	3
TEC	15	15	2	9	5
FRYL	1831	1929	567	476	590
OCIAD2	1367	1381	1793	1500	1708
LRRC66	51	64	7	5	9
SGCB	2283	2203	2023	1611	1938
USP46	622	688	587	480	537
ERVMER34-1	0	2	0	1	0
SCFD2	329	338	391	360	410
LNX1	60	50	47	32	40
RPL21P44	5	5	1	1	0
CHIC2	449	449	490	433	485
KDR	20511	20361	15712	13101	14873
SRD5A3-AS1	6	8	2	2	0
CLOCK	1016	1030	400	339	361
PDCL2	0	0	0	0	1
NMU	7	6	5	2	3
AASDH	152	158	42	53	56
PPAT	282	281	131	119	148
HOPX	274	326	319	269	339
SPINK2	0	0	0	1	0
NOA1	401	369	427	358	398
IGFBP7	14488	14724	19010	17152	17872
LPHN3-AS1	0	0	0	0	0
TECRL	0	0	0	0	0
LOC401134	0	0	0	0	0
EPHA5	10	12	1	1	1
LOC101927237	0	0	0	0	0
CENPC	332	353	89	56	69
UBA6	2074	2132	603	510	588
GNRHR	2	2	0	0	0
TMPRSS11D	1	3	0	0	1
TMPRSS11A	0	0	0	0	0
TMPRSS11GP	0	0	0	0	0
TMPRSS11F	0	0	0	0	0
SYT14L	0	0	0	0	0
TMPRSS11BNL	0	0	0	0	0
TMPRSS11B	0	0	0	0	0
YTHDC1	0	0	0	0	0
UGT2B17	0	0	0	0	0
UGT2B15	0	0	0	0	0
UGT2A3	0	0	0	0	0
UGT2B11	0	0	0	0	0
UGT2B4	0	0	0	0	0
UGT2A2	0	0	0	0	0
UGT2A1	0	0	1	0	0
SULT1B1	430	418	259	173	258
SULT1E1	202	190	79	77	82
CSN2	0	0	0	0	0
IGJ	0	0	0	0	0
GRSF1	1759	1794	1465	1195	1356
GC	0	0	0	0	0
ADAMTS3	40	49	43	36	36
COX18	215	221	207	176	194
ANKRD17	3211	3183	2305	1860	2183
RASSF6	18	16	2	2	0
PF4	0	0	1	0	0
PPBP	0	0	0	0	0
CXCL5	83	93	116	111	132
CXCL3	120	128	293	248	294
PPBPP2	0	0	0	0	0
CXCL2	504	497	642	525	647
BTC	0	0	0	0	0
RCHY1	410	433	246	185	263
CDKL2	13	9	4	3	3
G3BP2	5009	4921	3824	3120	3927
PPEF2	0	0	0	0	0
NAAA	314	340	396	329	351
SDAD1	862	805	422	309	399
CXCL9	2	0	3	1	0
CXCL10	60	47	80	63	73
CXCL11	105	101	39	54	51
NUP54	592	569	368	329	404
SCARB2	9218	9210	8377	6758	7985
CCDC158	2	0	0	0	0
SOWAHB	0	0	0	0	0
CCNI	2672	2636	2846	2559	2786
CNOT6L	1012	983	617	438	572
PAQR3	391	432	342	293	331
NAA11	0	0	0	0	0
GK2	0	0	0	0	0
ANTXR2	2365	2315	2230	1807	2040
PRKG2	0	0	0	0	0
RASGEF1B	1	2	0	0	0
HNRNPD	2717	2603	2831	2447	2778
HNRNPDL	3006	2967	1648	1399	1597
TMEM150C	65	52	54	33	67
LINC00575	0	0	0	0	0
SCD5	684	712	626	519	645
MIR575	0	0	0	0	0
SEC31A	7135	6763	7238	6042	7149
THAP9-AS1	244	221	46	45	49
LIN54	301	290	112	118	111
PLAC8	10	8	3	1	2
COQ2	290	258	264	208	261
HPSE	304	299	341	287	315
HELQ	178	179	86	51	91
FAM175A	616	599	312	274	330
NKX6-1	0	0	0	0	0
WDFY3	3001	3067	1783	1482	1721
MAPK10	0	1	0	0	0
SLC10A6	0	0	0	0	0
C4orf36	2	2	2	2	1
LOC100506746	60	41	48	37	42
KLHL8	240	220	125	109	138
MIR5705	0	0	0	0	0
HSD17B13	5	2	0	0	0
HSD17B11	338	355	263	228	286
SPARCL1	41	42	13	17	14
ABCG2	153	131	97	76	99
PPM1K	215	203	160	152	167
PYURF	1308	1311	1189	1000	1228
NAP1L5	141	136	108	84	90
FAM13A	108	116	45	39	43
GPRIN3	29	24	10	5	3
SNCA	2747	2733	2354	2008	2407
HPGDS	0	0	0	0	0
UNC5C	10	6	2	0	2
STPG2	0	0	1	0	0
TSPAN5	1020	969	913	765	892
EIF4E	1041	1070	882	751	818
ADH5	1357	1422	1351	1117	1307
ADH4	0	0	0	0	0
PCNAP1	0	0	0	0	0
ADH6	7	2	0	0	1
ADH1A	0	0	0	0	0
ADH1B	0	0	0	0	0
ADH1C	0	0	0	0	0
ADH7	0	0	0	0	0
TRMT10A	102	120	52	56	58
LAMTOR3	710	746	501	396	482
DNAJB14	846	849	230	186	225
H2AFZ	3794	4202	4241	3593	4045
DDIT4L	230	227	501	401	476
EMCN	2990	3040	1641	1331	1651
LINC01216	0	0	1	0	0
PPP3CA	1292	1257	752	624	750
MIR8066	0	0	0	0	0
SLC39A8	25	19	15	16	19
MANBA	294	305	316	243	283
UBE2D3	4645	4458	4790	3809	4712
SLC9B1	111	94	119	102	108
SLC9B2	288	330	388	257	374
BDH2	430	425	291	221	297
CENPE	970	909	108	82	119
TACR3	0	0	0	0	0
CXXC4	0	0	0	0	0
PPA2	536	593	582	521	653
INTS12	344	350	253	241	280
TBCK	412	407	266	235	227
GIMD1	0	0	0	0	0
DKK2	0	0	0	1	0
PAPSS1	1147	1171	1191	1100	1228
LEF1	0	0	0	0	0
RPL34-AS1	0	1	0	0	0
ETNPPL	0	0	0	0	0
COL25A1	287	343	275	202	269
SEC24B-AS1	11	14	12	3	3
CASP6	440	476	393	309	395
PLA2G12A	313	299	258	185	221
CFI	919	963	617	505	603
ELOVL6	209	203	101	82	96
PITX2	1	0	4	1	5
TIFA	453	440	706	566	700
NEUROG2	0	0	0	0	0
ZGRF1	109	122	18	16	12
MIR367	0	0	0	0	0
MIR302D	1	3	0	0	0
MIR302A	0	1	0	0	0
MIR302C	0	1	0	0	0
MIR302B	0	1	0	0	0
CAMK2D	922	934	608	484	545
ARSJ	2233	2161	2683	2179	2576
NDST4	0	0	0	0	0
TRAM1L1	0	3	1	0	0
PRSS12	16	14	15	10	23
SEC24D	3088	3148	3170	2688	3163
C4orf3	1332	1237	1235	983	1224
FABP2	0	0	0	0	0
LINC01061	28	39	14	26	17
PDE5A	147	132	93	85	90
LINC01365	0	0	0	0	0
MAD2L1	376	387	309	216	277
PRDM5	35	54	20	10	19
NDNF	0	0	0	0	0
TNIP3	93	85	216	200	238
QRFPR	1	0	0	2	0
ANXA5	15294	15027	19869	16169	19508
TMEM155	11	9	1	3	4
CCNA2	1090	1039	728	572	671
BBS7	411	379	161	141	163
TRPC3	0	0	0	0	0
IL2	0	0	0	0	0
IL21	0	0	0	0	0
CETN4P	1	1	1	0	0
NUDT6	84	88	38	36	41
LOC101927087	1	8	0	0	2
ANKRD50	2241	2283	889	690	826
MFSD8	273	315	119	97	115
PGRMC2	1564	1554	1361	1089	1268
SCLT1	201	202	55	53	60
LOC101927282	0	0	0	0	0
